"","X","score","text","emotion","polarity"
"1",1,23,"I'll preface this by saying that I own an iPad, and was not expecting a $99 tablet to perform at anywhere near that level.  I have followed the early reviews closely, and after seeing enough satisfied customers, I figured I'd give the Kindle Fire HD 6 a try.  I chose the base 8 GB with special offers and my plan was to use it as a secondary e-reader and a secondary or even tertiary vehicle for internet access.  What I've found is a powerful little tablet, so far completely free of the bugs and laggy speeds mentioned in the early reviews.  In fact, performance has so exceeded expectations that I consider this perhaps the year's best purchase.First off the look is nice. It's sleek, (I ordered the black model) and though actually quite a bit heavier than I'd imagined, it's not heavy enough to be considered a negative.  The display is fantastic, and its quality was the first big surprise. The touch screen performs incredibly well, and to this point, I have experienced immediate response.  To the point where I have to say touch response so far is indistinguishable from my iPad. Based on early reviews, this was not the case, so I have been quite pleasantly surprised. The Fire is very user friendly and easy to intuit.  For those who do not feel confident with navigation of a new device, there is an immediate onscreen tutorial (with an option to skip) to guide you.I first checked out the e-reader function.  My books loaded immediately and easily from the cloud and I really like the functionality of the reader.  I am a big fan of the Kindle app for the iPad, and am far more accustomed to its functionality, but the Fire performed  very well and my only complaint is that when searching the definition of a word, Wikipedia is used (versus google on the Kindle for iPad/Phone apps) which is a step down in quality imo, but certainly a small complaint overall, and in the quick 2 or 3 words I searched the answer was attainable from that page and did not require going over to the Wikipedia page as some have reported.Next, I checked out Silk, the web browser.  This aspect of the Fire probably received the most complaints as the early reviews came in.  It was reported to lag and to crash frequently, even on amazon's own site.  I expected this to be the case as I tested it, but I found that these problems must already have been addressed (your tablet loads the newest version of the software upon your registration) in subsequent updates as my experience was the ability to browse quickly and flawlessly across a number of varying websites.  This was the second surprise for me, as I expected a far lower quality and especially a slower speed. I couldn't be happier with what I've experienced so far.I browsed the app store and found it very functional and easy to maneuver, I set up my gmail within a matter of seconds, and I looked through a variety of sales and offers. At no time have I found slow speeds, poor touch responses, or any lagging.The Kindle Fire HD6 has exceeded my expectations in every way, and I still can't believe I got it for $99 + tax.  This thing is an incredible bargain, and so far its quality of performance holds its own against my iPad, something I absolutely did not expect at this price.  I'm sure as I become more familiar with the Fire, the reasons for the price difference between it and the iPad will become more apparent, but when you consider the main reasons for which I purchased the Fire, it holds up marvelously well.  Again, this may be the year's best purchase from a value standpoint.  So far,I wouldn't hesitate to recommend it to anyone.  Enjoy!UPDATE 1/22/15-  Since writing this review back in October, I've purchased 3 more for my kids.  In perhaps the greatest test of speed and function, namely being easy, fast and fun enough to be preferred by children, these tablets have continued to impress and have proved that they are indeed a game changer in the world of budget tablets. With 3 months of rather heavy use under my belt, I have experienced absolutely no technical difficulties, and I remain a very satisfied customer. I therefore continue to highly recommend this excellent tablet.","joy","positive"
"2",2,45,"If you read my Fire TV review you know that I am tough on Amazon when it comes to their own items. It needs to deliver quality for the price point to earn stars from me. Please take the time to read my entire review and feel free to ask questions. I will do my best to respond to them as I can and update the review to reflect those answers and other things I discover along the way.First my background. I own many Amazon Kindles (b&w, Fire gen2, Fire gen3) as well as Apple Ipad (gen 4), Samsung Note 3 and have an LG G2 smartphone (had a Samsung S4 before that), notebooks, chromebooks, etc. I have also used many other products including the Fire HDX line. I have a solid computer background as well but honestly I am more of a casual user when it comes to tablets like this one.Amazon has changed many things over the life of the Fire product line. Adding and removing features (like cameras--the first generation had one but the second generation removed them but not they are back).They are all useful devices but each one has its own niche so to speak so make sure whatever you get has the features that are important to you.Now to this model. This is like a big smartphone--which is a big difference from past kindles. It is more compact, lighter and yet still very usable. In fact for me, the shrinking of size increases the usefulness. I find that I use my smartphone way more than my tablets--even the smaller Fire HD and Samsung Note tablets so I am expecting this to replace more of that ""on the couch"" usage which is great since it so much less expensive than most smartphones. That means you can feel less bad about scratches that might occur or the accidental drops. (I am guilty of both.)The screen is very good--certainly not the top of the line but nice even if you factor paying twice the retail for it. It is bright, sharp with the same resolution as pastComparing past Kindle Fires:1st Generation 7 inch--1024 x 600 pixel resolution at 169 ppi2nd Generation 7 inch--1024 x 600 pixel resolution at 169 ppi3rd Generation 7 inch--1280 x 800 resolution at 216 ppi (the first step up in resolution)4th Generation 7 inch--1280 x 800 (216 ppi) (This is the twin to this model and was just released)Whereas this 6 inch model has 1280 x 800 (252 ppi). That makes this display higher or the same resolution than any of the past Kindle Fires with the exception of the more expensive HDX. It makes it sharper with more detail per inch than any of the past Kindle Fires of this smaller size (again except for the HDX). Yet this is the cheapest Fire yet which is quite impressive.Now while Amazon may love my giving this 6 inch fire a 5 star rating, they wouldn't like this next sentence. There is absolutely no reason to even consider the newly released 7 inch fire. $40 more gets you a less ""sharp/detailed"" screen, more weight, more bulk (look at the extra space on the sides next to the screen of the new 6 inch and the new 7 inch) and the only improvements is a second speaker and a larger screen.In my opinion you should consider this 6 inch Fire or consider spending twice as much to step up to the Fire HDX with many improvements (Mayday button, higher resolution, faster processor, dual-band, dual antenna (MIMO) Wi-Fi, and longer battery life). The HDX has some issues with a blue halo around the screen so read reviews of that before jumping.So now that I have talked you out of the Fire 7 and covered some of the reasons for considering the Fire 7 HDX, lets talk more about the Fire 6.Performance/Apps--It is quick (but I am never happy enough, lol), responsive and like Apple products--it just works. Now one plus and minus with all Kindles/Fires are that you can not use any app from Google's app store. That means you have to wait for apps to be brought into Amazon's app store which seems to be slow at getting new releases and new updates. This is really an issue for Amazon and one that still needs to be fixed. The plus to this is that Amazon keeps some of the junky apps out of the system and once they make it to Amazon's app store, they are proven safe and generally work better than the ""fresh"" apps because bugs have been worked out.Amazon's own apps are very well integrated into this and past Fires. They keep improving them and adding features without adding cost. If you have Prime, you get streaming TV and Movies, free ebooks and now Prime Music. If you have Prime, the added free content you get on the Fire makes it a real standout against everything else.I use my Fire 6 for reading emails, surfing the internet, watching videos (some of the time) and playing some games/apps like IMDB. I have found that it meets or exceeds what I have come to expect from these things in terms of performance and reliability. Are there bugs or glitches? Yes but less than my LG smartphone has and less than my Samsung Tab has.Size--about the size of the new ""large"" phones is very nice--not too big but not too small. It is more portable feeling than the 7 inch tablets and it is easy to hold. It is fun to be part of the ""cool club"" without dropping 5-6 times as much or signing a 2 year contract.Quality--Amazon has proven overtime that they can make quality products and this is no exception. At under a hundred dollars there is pretty much nothing else that is this feature packed with this finish quality. I have experienced no quality issues and do not expect anything given Amazon's solid history.Battery Life--So far so good. I was able to stream video and surf the internet for well over 7 hours without any hiccups. From a device this compact with such a large screen that seems quite impressive.Sound--Decent but Apple products are cleaner sounding to me. Volume is usable in most situations but not necessarily in noisy outside situations.I am sure I have forgotten something so please feel free to ask questions. This is my own opinion and while I don't know everything,  I do my best to deliver honest reviews since reviews help me so much when I shop.If you are in the market for a little tablet and have prime, you have to decide between this Fire 6 or the 7 inch HDX for twice the cost. This 6 inch adds the rear camera and most of the performance while being smaller, lighter at half the price.","joy","positive"
"3",3,23,"For the low price, this tablet really does more than expected!  The camera isn't great; however, I always use my phone for a camera so that doesn't effect me.  Here are some of the pros and cons:Pros: Low cost yet high tech  Great screen quality (of course there is better out there, but it looks great as is)  Smooth and responsive  Easy access to amazon prime content  Easy to wirelessly share content to a TV  Battery life  Web browser works greatCons: Doesn't have some apps android users are used to having  Camera quality isn't great and no flash  Less 'extra features' than some higher priced tablets haveI opted to go with the 16gb version with no ads.  The ads aren't a big deal, but I figured I would pass on having them on my screen.  No matter what version you pick, they all do the same things.  The gigs may or may not matter to you.  8 and 16 gigs both aren't very large, but if you want to predownload some tv shows, movies, & music before a vacation, then you may want to look into getting the larger 16gig.  If you will always have internet connection, then it isn't much a problem since you have unlimited cloud storage and can download to your device or stream at anytime you have internet.Overall... If you want an Amazon tablet, and you want the best, go with the HDX series.  However, if you want an amazing tablet but don't want to spend as much, then these new HD 6 & 7 series are great!  For me and my uses, the HD 6 is the perfect fit.I would suggest the 6 over the 7 for most buyers.  The only 2 things the 7 has over the 6, are a larger screen, and dual speakers.  Sure the dual speakers is kind of nice, but the screen is actually lower quality than the 6.  At 216ppi, the 7 keeps the same resolution as it's last (3rd) generation.  The 6, however, has 252ppi which make it's screen a bit more crisp.Here are some of my thoughts:Size: The size is good.  I prefer that it is a smaller size for ease of carrying.  As long as you see well up close, this 6 is a great size!Battery Life: Very sufficient for my needs.  The Kindle HDX's have a little longer battery life; however, this 8 hour spec'd battery life has been lasting a long time, and never getting too low for my uses.Sound: Sound isn't bad.  It is comparable to a laptop from a few years back.  The 6 has only a mono speaker, but it is loud enough and crisp.  I find it is plenty for watching a tv show or movie.  For music I prefer a speaker or headphones(but that goes for pretty much any tablet).Check out my youtube: Earthling1984 for some more information on this tablet.","joy","positive"
"4",4,1,"My 95 father announced, ""I want a Kindle for Christmas.""  No one knows where he got the idea but he actually wanted two:  one for himself and one for me so I wouldn't bother him.  I was skeptical as I like the feel, smell, and warmth of a ""real"" book.  I bought two.  Between Christmas and New Year's day, he read three books.  (Yes, he is a fast reader).  I am working on one very thick (by paper book standards) book and do not have his speed.The purchase was a complete success and I wish I'd gotten them sooner.The photos of my reading father says it all:","joy","neutral"
"5",5,4,"I'm starting off my saying I'm not just anti-kindle.I've owned an original Kindle and a 2nd Gen Kindle Fire HD. I loved them both.  My husband owns one. He loves it. My kids played mine all the time so much they loved them.So, for Christmas we decided to get my older two children their own Kindle Fires. We selected this model due to a tremendous price discount on Cyber Monday.We opened them up at Christmas. And now, my daughter is constantly frustrated. She continues to get a message warning her that storage space is getting low and it shuts the wireless connection down. So, she can't watch the streaming video that is part of Kindle Freetime or even download the little games in FreeTime.So, being the tech family we are (I'm an IT Tech, my husband is a Computer Engineer, so we aren't stupid when it comes to tech devices), we began looking into this.I know that this is the 8GB model. I see that it is advertised as above as having 4.5 of that 8GB available for the user.I call BS on that.  See attached photo.Of the entire 4.5 GB available (according to the above advertising), you get considerably less.Why is Amazon telling me that I get that much space available when their system applications (stuff I can't uninstall, either) take up some of that space and then System files take of 2/3 of a Gig on this one and 3/4 of a Gig on my son's kindle.When I click on System to see what it includes, it says, ""This catergory includes system cache, logs, Text-to-speech files and other system files. I can't see what it is.These people knew how much of their random system files and settings would eat into my storage space.  So don't give me a little sales pitch that I get 4.5 when I don't.So, I did some digging.My husband's 32 GB Kindle Fire HD (2nd Gen) lets us know that 27 GB are available.  Which means the Android OS, the Kindle Fire OS that's on top of the Android system, and all the system files and behind the scenes stuff are planned to take up 5 GB.Which would be about right.  System files, user accounts, system settings, etc. Use up about 1.5 GB of the advertised 4.5 GB of User Storage.  So, Amazon should be honest and say - You get 3GB of storage not 4.5.I'm highly disappointed in this. It's frustrating and disappointing.  My personal recommendation to friends and family will definitely not include this type of Kindle again.","surprise","negative"
"6",6,26,"I was very surprised to find that I absolutely love this little device.  Surprised because I had the very first Fire and the very first Fire HD and ended up giving them to family members because I just didn't like them.  I was hesitant to try the 6 inch since I didn't like the 7 inch and was pleasantly surprised to find that I really, really liked it.  It was easy to set up - email and my Amazon purchases loaded very quickly.  I have the Kindle PW but usually do all of my reading on the IPad mini Kindle app due to the fact that I like the larger screen over the PW.  I only use the PW when I am reading at night in bed if I can't sleep.  That is why I am surprised that reading on the Fire HD 6 is just so nice and appealing.  I like the feel and build of the Fire - it is heavier in the hand than the PW but the heaviness adds to the feeling of quality.  It has a nice solid feel and is very comfortable to hold one handed.  The screen for viewing videos is absolutely beautiful (I think better than the IPad mini).  I bought this mainly to have the text to speech function and it worked very well with the book I was currently reading.  The speaker is not that bad but I almost always use headphones so the mono speaker is no big deal for me.  8GB is not a lot since you really get less than that for your own content but I currently have two episodes of SOA on it, an audio book, one game and five books and I still have just under 3.0GB left to use.  The battery life is pretty good - much better than the previous Fire HD I had tried.  I use the IPod Touch at work mainly to stream the instant videos and my music (never liked reading on it) but with the larger screen on the Fire HD6 my IPod is going to be sitting at home while the mini Fire is going to be my constant companion.  Now on to my complaints - which are very few.  I wish the back of the Fire HD was a little more skid resistant and I really wish the lighting could be turned down to almost black.  For me, at the lowest setting, it is still way too bright to use comfortably in a dark room.  I know there is an app out there to help with this, but the device should be able to accommodate almost zero light itself.  Also, I really wish that Amazon would adopt the ""swipe up and down the screen"" to adjust your light setting.  Kobo was able to do this to their Aura HD with a firmware update and I really wish Amazon would do this too.  A truly immersive reading experience should mean being able to make all your adjustments while still reading without having to stop reading and go thru menus to reach the settings you need (ambient light sensor is still having the device decide what is best and you still need to make adjustments to what you like).  All in all - good job on this one!  It's small enough to go everywhere with you and heavy enough to feel well built.  UPDATE:  I never thought I would ever say this because I always have loved my IPad mini - but I am reading more on this little Fire and my Mini has been sitting in the drawer ever since I unboxed the Fire 6.","joy","neutral"
"7",7,4,"First, let me say that I love Amazon and feel it truly provides a great shopping place for moms.  I buy many items in which I am very happy with through its website and this is perhaps why I am so disappointed with this purchase.  I do not make snap decisions and take time to research an item before buying.  I also rarely spend $100 on any given item.  I bought this tablet because of the marketing done on the product and what the commercials said this tablet was capable of.  I saw the commercial where the tab slid off a car hood and survived hitting the concrete, as well as the commercial where it took a tumble down the stairs, and lastly, the tumble it took in the tumbling mechanism.  My tablet was not so fortunate.  It took a mere 3 ft fall and the screen shattered beyond the point of use.  The commercials lead one to believe it should be able to survive this, but mine did not.  Had I known it was going to be like all the other tablets out there I would have taken better precautions to ensure it didn’t have a chance to break.  I feel that Amazon has wrongly misled its customer’s in its marketing efforts to sale this product.  I have only had the tablet for 3 months and am no longer able to use it.  I called Amazon to voice my concern and was not offered much other than a replacement that cost me almost as much as a brand new device.So be cautious if buying this tablet, it is just like all the others out there!  Buy a case to protect it and treat it as you do your other devices, as it is not indispensable as the commercials claim!","joy","positive"
"8",8,1,"It's fine, just like my last one that was stolen. I need to formiliarize myself all over again.","joy","negative"
"9",9,0,"Ordered this for our 8 year old to replace her first generation Kindle Fire. During setup I found out that Amazon has intentionally blocked all casting from the latest 4.5.1 update to Chromecast, not even Netflix will cast with this as it has with our old 2011 kindle fire. It will be on its way back to Amazon shortly.","sadness","negative"
"10",10,11,"Incredible little machine.  Ads on the main pages, but they are NOT bothersome.  Functions totally intuitive-- no learning curve at all.  I hated the Kindle, bought a Nook and Amazon has now done the hardest thing in retail-- they have earned back a customer they lost.  Combine the quality of this product with Prime and their renewed commitment to actually serving the customer and they are unbeatable.  I have an Ipad and this device completely replaced it in 2 hours.  Does everything more reliably and more intuitively.  About the only thing the IPad still wins at is linking with ITunes.  So if you are an ITunes music only person, this might still be a difficult question.  But, this Fire does everything else better than my IPad-- email, video/TV, web browse, reader.  The App war still hinges on Android being twitchy, cheaper, wider and Apple being more reliable, narrow, pricier. But I rarely use apps except games which are fine either way-- if anything they are better organized and easier to get at on the fire if you are a gamer.  Everything is easier to get at here.  Much better device.  Much less expensive.  WAY WAY better customer service.  I rarely leave reviews but Amazon has hit the retail ball out of the park with Prime and Fire.  They are winning again.  Congrats.","anger","neutral"
