id,text,polarity
1,ill preface this by saying that i own an ipad and was not expecting atablet to perform at anywhere near that leveli have followed the early reviews closely and after seeing enough satisfied customers i figured id give the kindle fire hda tryi chose the basegb with special offers and my plan was to use it as a secondary ereader and a secondary or even tertiary vehicle for internet accesswhat ive found is a powerful little tablet so far completely free of the bugs and laggy speeds mentioned in the early reviewsin fact performance has so exceeded expectations that i consider this perhaps the years best purchasefirst off the look is nice its sleek i ordered the black model and though actually quite a bit heavier than id imagined its not heavy enough to be considered a negativethe display is fantastic and its quality was the first big surprise the touch screen performs incredibly well and to this point i have experienced immediate responseto the point where i have to say touch response so far is indistinguishable from my ipad based on early reviews this was not the case so i have been quite pleasantly surprised the fire is very user friendly and easy to intuitfor those who do not feel confident with navigation of a new device there is an immediate onscreen tutorial with an option to skip to guide youi first checked out the ereader functionmy books loaded immediately and easily from the cloud and i really like the functionality of the readeri am a big fan of the kindle app for the ipad and am far more accustomed to its functionality but the fire performedvery well and my only complaint is that when searching the definition of a word wikipedia is used versus google on the kindle for ipadphone apps which is a step down in quality imo but certainly a small complaint overall and in the quickorwords i searched the answer was attainable from that page and did not require going over to the wikipedia page as some have reportednext i checked out silk the web browserthis aspect of the fire probably received the most complaints as the early reviews came init was reported to lag and to crash frequently even on amazons own sitei expected this to be the case as i tested it but i found that these problems must already have been addressed your tablet loads the newest version of the software upon your registration in subsequent updates as my experience was the ability to browse quickly and flawlessly across a number of varying websitesthis was the second surprise for me as i expected a far lower quality and especially a slower speed i couldnt be happier with what ive experienced so fari browsed the app store and found it very functional and easy to maneuver i set up my gmail within a matter of seconds and i looked through a variety of sales and offers at no time have i found slow speeds poor touch responses or any laggingthe kindle fire hd has exceeded my expectations in every way and i still cant believe i got it fortaxthis thing is an incredible bargain and so far its quality of performance holds its own against my ipad something i absolutely did not expect at this priceim sure as i become more familiar with the fire the reasons for the price difference between it and the ipad will become more apparent but when you consider the main reasons for which i purchased the fire it holds up marvelously wellagain this may be the years best purchase from a value standpointso fari wouldnt hesitate to recommend it to anyoneenjoyupdatesince writing this review back in october ive purchasedmore for my kidsin perhaps the greatest test of speed and function namely being easy fast and fun enough to be preferred by children these tablets have continued to impress and have proved that they are indeed a game changer in the world of budget tablets withmonths of rather heavy use under my belt i have experienced absolutely no technical difficulties and i remain a very satisfied customer i therefore continue to highly recommend this excellent tablet,positive
2,if you read my fire tv review you know that i am tough on amazon when it comes to their own items it needs to deliver quality for the price point to earn stars from me please take the time to read my entire review and feel free to ask questions i will do my best to respond to them as i can and update the review to reflect those answers and other things i discover along the wayfirst my background i own many amazon kindles bw fire gen fire gen as well as apple ipad gensamsung noteand have an lg g smartphone had a samsung s before that notebooks chromebooks etc i have also used many other products including the fire hdx line i have a solid computer background as well but honestly i am more of a casual user when it comes to tablets like this oneamazon has changed many things over the life of the fire product line adding and removing features like camerasthe first generation had one but the second generation removed them but not they are backthey are all useful devices but each one has its own niche so to speak so make sure whatever you get has the features that are important to younow to this model this is like a big smartphonewhich is a big difference from past kindles it is more compact lighter and yet still very usable in fact for me the shrinking of size increases the usefulness i find that i use my smartphone way more than my tabletseven the smaller fire hd and samsung note tablets so i am expecting this to replace more of that on the couch usage which is great since it so much less expensive than most smartphones that means you can feel less bad about scratches that might occur or the accidental drops i am guilty of boththe screen is very goodcertainly not the top of the line but nice even if you factor paying twice the retail for it it is bright sharp with the same resolution as pastcomparing past kindle firesst generationinch xpixel resolution atppind generationinch xpixel resolution atppird generationinch xresolution atppi the first step up in resolutionth generationinch xppi this is the twin to this model and was just releasedwhereas thisinch model hasxppi that makes this display higher or the same resolution than any of the past kindle fires with the exception of the more expensive hdx it makes it sharper with more detail per inch than any of the past kindle fires of this smaller size again except for the hdx yet this is the cheapest fire yet which is quite impressivenow while amazon may love my giving thisinch fire astar rating they wouldnt like this next sentence there is absolutely no reason to even consider the newly releasedinch firemore gets you a less sharpdetailed screen more weight more bulk look at the extra space on the sides next to the screen of the newinch and the newinch and the only improvements is a second speaker and a larger screenin my opinion you should consider thisinch fire or consider spending twice as much to step up to the fire hdx with many improvements mayday button higher resolution faster processor dualband dual antenna mimo wifi and longer battery life the hdx has some issues with a blue halo around the screen so read reviews of that before jumpingso now that i have talked you out of the fireand covered some of the reasons for considering the firehdx lets talk more about the fire performanceappsit is quick but i am never happy enough lol responsive and like apple productsit just works now one plus and minus with all kindlesfires are that you can not use any app from googles app store that means you have to wait for apps to be brought into amazons app store which seems to be slow at getting new releases and new updates this is really an issue for amazon and one that still needs to be fixed the plus to this is that amazon keeps some of the junky apps out of the system and once they make it to amazons app store they are proven safe and generally work better than the fresh apps because bugs have been worked outamazons own apps are very well integrated into this and past fires they keep improving them and adding features without adding cost if you have prime you get streaming tv and movies free ebooks and now prime music if you have prime the added free content you get on the fire makes it a real standout against everything elsei use my firefor reading emails surfing the internet watching videos some of the time and playing some gamesapps like imdb i have found that it meets or exceeds what i have come to expect from these things in terms of performance and reliability are there bugs or glitches yes but less than my lg smartphone has and less than my samsung tab hassizeabout the size of the new large phones is very nicenot too big but not too small it is more portable feeling than theinch tablets and it is easy to hold it is fun to be part of the cool club without droppingtimes as much or signing ayear contractqualityamazon has proven overtime that they can make quality products and this is no exception at under a hundred dollars there is pretty much nothing else that is this feature packed with this finish quality i have experienced no quality issues and do not expect anything given amazons solid historybattery lifeso far so good i was able to stream video and surf the internet for well overhours without any hiccups from a device this compact with such a large screen that seems quite impressivesounddecent but apple products are cleaner sounding to me volume is usable in most situations but not necessarily in noisy outside situationsi am sure i have forgotten something so please feel free to ask questions this is my own opinion and while i dont know everythingi do my best to deliver honest reviews since reviews help me so much when i shopif you are in the market for a little tablet and have prime you have to decide between this fireor theinch hdx for twice the cost thisinch adds the rear camera and most of the performance while being smaller lighter at half the price,positive
3,for the low price this tablet really does more than expectedthe camera isnt great however i always use my phone for a camera so that doesnt effect mehere are some of the pros and conspros low cost yet high techgreat screen quality of course there is better out there but it looks great as issmooth and responsiveeasy access to amazon prime contenteasy to wirelessly share content to a tvbattery lifeweb browser works greatcons doesnt have some apps android users are used to havingcamera quality isnt great and no flashless extra features than some higher priced tablets havei opted to go with the gb version with no adsthe ads arent a big deal but i figured i would pass on having them on my screenno matter what version you pick they all do the same thingsthe gigs may or may not matter to youandgigs both arent very large but if you want to predownload some tv shows moviesmusic before a vacation then you may want to look into getting the larger gigif you will always have internet connection then it isnt much a problem since you have unlimited cloud storage and can download to your device or stream at anytime you have internetoverall if you want an amazon tablet and you want the best go with the hdx serieshowever if you want an amazing tablet but dont want to spend as much then these new hdseries are greatfor me and my uses the hdis the perfect fiti would suggest theover thefor most buyersthe onlythings thehas over theare a larger screen and dual speakerssure the dual speakers is kind of nice but the screen is actually lower quality than theat ppi thekeeps the same resolution as its last rd generationthehowever has ppi which make its screen a bit more crisphere are some of my thoughtssize the size is goodi prefer that it is a smaller size for ease of carryingas long as you see well up close thisis a great sizebattery life very sufficient for my needsthe kindle hdxs have a little longer battery life however thishour specd battery life has been lasting a long time and never getting too low for my usessound sound isnt badit is comparable to a laptop from a few years backthehas only a mono speaker but it is loud enough and crispi find it is plenty for watching a tv show or moviefor music i prefer a speaker or headphonesbut that goes for pretty much any tabletcheck out my youtube earthling for some more information on this tablet,positive
4,myfather announced i want a kindle for christmasno one knows where he got the idea but he actually wanted twoone for himself and one for me so i wouldnt bother himi was skeptical as i like the feel smell and warmth of a real booki bought twobetween christmas and new years day he read three booksyes he is a fast readeri am working on one very thick by paper book standards book and do not have his speedthe purchase was a complete success and i wish id gotten them soonerthe photos of my reading father says it all,neutral
5,im starting off my saying im not just antikindleive owned an original kindle and a nd gen kindle fire hd i loved them bothmy husband owns one he loves it my kids played mine all the time so much they loved themso for christmas we decided to get my older two children their own kindle fires we selected this model due to a tremendous price discount on cyber mondaywe opened them up at christmas and now my daughter is constantly frustrated she continues to get a message warning her that storage space is getting low and it shuts the wireless connection down so she cant watch the streaming video that is part of kindle freetime or even download the little games in freetimeso being the tech family we are im an it tech my husband is a computer engineer so we arent stupid when it comes to tech devices we began looking into thisi know that this is the gb model i see that it is advertised as above as havingof that gb available for the useri call bs on thatsee attached photoof the entiregb available according to the above advertising you get considerably lesswhy is amazon telling me that i get that much space available when their system applications stuff i cant uninstall either take up some of that space and then system files take ofof a gig on this one andof a gig on my sons kindlewhen i click on system to see what it includes it says this catergory includes system cache logs texttospeech files and other system files i cant see what it isthese people knew how much of their random system files and settings would eat into my storage spaceso dont give me a little sales pitch that i getwhen i dontso i did some diggingmy husbandsgb kindle fire hd nd gen lets us know thatgb are availablewhich means the android os the kindle fire os thats on top of the android system and all the system files and behind the scenes stuff are planned to take upgbwhich would be about rightsystem files user accounts system settings etc use up aboutgb of the advertisedgb of user storageso amazon should be honest and sayyou get gb of storage not im highly disappointed in this its frustrating and disappointingmy personal recommendation to friends and family will definitely not include this type of kindle again,negative
6,i was very surprised to find that i absolutely love this little devicesurprised because i had the very first fire and the very first fire hd and ended up giving them to family members because i just didnt like themi was hesitant to try theinch since i didnt like theinch and was pleasantly surprised to find that i really really liked itit was easy to set upemail and my amazon purchases loaded very quicklyi have the kindle pw but usually do all of my reading on the ipad mini kindle app due to the fact that i like the larger screen over the pwi only use the pw when i am reading at night in bed if i cant sleepthat is why i am surprised that reading on the fire hdis just so nice and appealingi like the feel and build of the fireit is heavier in the hand than the pw but the heaviness adds to the feeling of qualityit has a nice solid feel and is very comfortable to hold one handedthe screen for viewing videos is absolutely beautiful i think better than the ipad minii bought this mainly to have the text to speech function and it worked very well with the book i was currently readingthe speaker is not that bad but i almost always use headphones so the mono speaker is no big deal for megb is not a lot since you really get less than that for your own content but i currently have two episodes of soa on it an audio book one game and five books and i still have just under gb left to usethe battery life is pretty goodmuch better than the previous fire hd i had triedi use the ipod touch at work mainly to stream the instant videos and my music never liked reading on it but with the larger screen on the fire hd my ipod is going to be sitting at home while the mini fire is going to be my constant companionnow on to my complaintswhich are very fewi wish the back of the fire hd was a little more skid resistant and i really wish the lighting could be turned down to almost blackfor me at the lowest setting it is still way too bright to use comfortably in a dark roomi know there is an app out there to help with this but the device should be able to accommodate almost zero light itselfalso i really wish that amazon would adopt the swipe up and down the screen to adjust your light settingkobo was able to do this to their aura hd with a firmware update and i really wish amazon would do this tooa truly immersive reading experience should mean being able to make all your adjustments while still reading without having to stop reading and go thru menus to reach the settings you need ambient light sensor is still having the device decide what is best and you still need to make adjustments to what you likeall in allgood job on this oneits small enough to go everywhere with you and heavy enough to feel well builtupdatei never thought i would ever say this because i always have loved my ipad minibut i am reading more on this little fire and my mini has been sitting in the drawer ever since i unboxed the fire,neutral
7,first let me say that i love amazon and feel it truly provides a great shopping place for momsi buy many items in which i am very happy with through its website and this is perhaps why i am so disappointed with this purchasei do not make snap decisions and take time to research an item before buyingi also rarely spendon any given itemi bought this tablet because of the marketing done on the product and what the commercials said this tablet was capable ofi saw the commercial where the tab slid off a car hood and survived hitting the concrete as well as the commercial where it took a tumble down the stairs and lastly the tumble it took in the tumbling mechanismmy tablet was not so fortunateit took a mereft fall and the screen shattered beyond the point of usethe commercials lead one to believe it should be able to survive this but mine did nothad i known it was going to be like all the other tablets out there i would have taken better precautions to ensure it didn’t have a chance to breaki feel that amazon has wrongly misled its customer’s in its marketing efforts to sale this producti have only had the tablet formonths and am no longer able to use iti called amazon to voice my concern and was not offered much other than a replacement that cost me almost as much as a brand new deviceso be cautious if buying this tablet it is just like all the others out therebuy a case to protect it and treat it as you do your other devices as it is not indispensable as the commercials claim,positive
8,its fine just like my last one that was stolen i need to formiliarize myself all over again,negative
9,ordered this for ouryear old to replace her first generation kindle fire during setup i found out that amazon has intentionally blocked all casting from the latestupdate to chromecast not even netflix will cast with this as it has with our oldkindle fire it will be on its way back to amazon shortly,negative
10,incredible little machineads on the main pages but they are not bothersomefunctions totally intuitive no learning curve at alli hated the kindle bought a nook and amazon has now done the hardest thing in retail they have earned back a customer they lostcombine the quality of this product with prime and their renewed commitment to actually serving the customer and they are unbeatablei have an ipad and this device completely replaced it inhoursdoes everything more reliably and more intuitivelyabout the only thing the ipad still wins at is linking with itunesso if you are an itunes music only person this might still be a difficult questionbut this fire does everything else better than my ipad email videotv web browse readerthe app war still hinges on android being twitchy cheaper wider and apple being more reliable narrow pricier but i rarely use apps except games which are fine either way if anything they are better organized and easier to get at on the fire if you are a gamereverything is easier to get at heremuch better devicemuch less expensiveway way better customer servicei rarely leave reviews but amazon has hit the retail ball out of the park with prime and firethey are winning againcongrats,neutral
