"width","classes"
125,1
468,1
230,1
468,1
468,1
468,1
460,1
234,1
468,1
468,1
NA,1
52,1
60,1
60,1
230,1
468,1
468,1
125,1
468,1
585,1
60,1
60,1
60,1
60,1
NA,1
52,1
60,1
468,1
234,1
234,1
88,1
120,1
125,1
468,1
468,1
468,1
392,1
468,1
468,1
107,1
107,1
107,1
107,1
468,1
125,1
468,1
468,1
468,1
125,1
468,1
468,1
120,1
468,1
468,1
468,1
125,1
468,1
125,1
468,1
234,1
234,1
468,1
NA,1
NA,1
NA,1
NA,1
468,1
2,1
120,1
125,1
125,1
125,1
NA,1
468,1
468,1
468,1
234,1
127,1
468,1
80,1
80,1
80,1
468,1
80,1
80,1
80,1
125,1
468,1
468,1
468,1
468,1
468,1
234,1
234,1
234,1
234,1
231,1
88,1
100,1
54,1
96,1
100,1
147,1
95,1
188,1
58,1
468,1
468,1
468,1
468,1
460,1
468,1
468,1
126,1
126,1
126,1
126,1
NA,1
NA,1
NA,1
NA,1
159,1
NA,1
183,1
NA,1
NA,1
400,1
400,1
468,1
468,1
468,1
468,1
468,1
468,1
93,1
468,1
468,1
468,1
120,1
468,1
125,1
125,1
468,1
468,1
468,1
468,1
468,1
468,1
83,1
468,1
468,1
468,1
468,1
468,1
120,1
468,1
476,1
100,1
100,1
100,1
100,1
468,1
120,1
125,1
NA,1
468,1
468,1
468,1
90,1
468,1
468,1
468,1
468,1
468,1
125,1
468,1
468,1
468,1
468,1
468,1
468,1
468,1
75,1
468,1
125,1
468,1
234,1
468,1
225,1
NA,1
NA,1
468,1
NA,1
NA,1
468,1
468,1
125,1
468,1
468,1
234,1
468,1
400,1
468,1
125,1
468,1
234,1
234,1
88,1
468,1
NA,1
468,1
88,1
88,1
468,1
468,1
234,1
468,1
468,1
NA,1
69,1
392,1
392,1
468,1
88,1
NA,1
88,1
468,1
88,1
468,1
120,1
120,1
120,1
120,1
468,1
NA,1
NA,1
NA,1
NA,1
261,1
468,1
468,1
468,1
468,1
270,1
468,1
142,1
230,1
230,1
468,1
468,1
120,1
120,1
234,1
468,1
468,1
120,1
234,1
468,1
125,1
468,1
NA,1
NA,1
230,1
230,1
468,1
468,1
468,1
468,1
230,1
230,1
230,1
230,1
234,1
468,1
468,1
125,1
370,1
455,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
309,1
NA,1
89,1
230,1
NA,1
NA,1
69,1
NA,1
NA,1
NA,1
69,1
69,1
NA,1
468,1
468,1
468,1
468,1
468,1
468,1
120,1
120,1
468,1
120,1
129,1
125,1
125,1
129,1
125,1
468,1
468,1
468,1
468,1
468,1
468,1
470,1
468,1
468,1
468,1
43,1
468,1
468,1
468,1
NA,1
NA,1
468,1
NA,1
60,1
468,1
88,1
468,1
NA,1
225,1
NA,1
230,1
468,1
468,1
468,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
468,1
120,1
468,1
468,1
468,1
468,1
468,1
468,1
468,1
468,1
125,1
125,1
NA,1
400,1
400,1
468,1
468,1
400,1
468,1
468,1
400,1
468,1
NA,1
468,1
468,1
345,1
90,1
150,1
400,1
468,1
468,1
468,1
NA,1
460,1
NA,1
NA,1
520,1
120,1
NA,1
468,1
460,1
NA,1
NA,1
NA,1
NA,1
433,1
NA,1
100,1
468,1
468,1
NA,1
400,1
468,1
400,1
468,1
468,1
164,1
468,1
NA,1
460,1
230,1
215,1
NA,1
NA,1
510,1
468,1
392,1
NA,1
612,1
227,1
440,1
130,1
430,1
468,1
400,1
468,1
468,1
460,1
NA,1
468,1
NA,1
NA,1
468,1
NA,1
468,1
NA,1
468,1
164,1
148,1
280,1
90,1
264,1
416,1
150,1
216,1
144,1
468,1
150,1
150,1
150,1
468,1
NA,1
NA,1
150,1
468,1
400,1
468,1
NA,0
NA,0
109,0
57,0
150,0
NA,0
NA,0
130,0
36,0
92,0
90,0
239,0
218,0
16,0
109,0
NA,0
225,0
209,0
90,0
NA,0
117,0
111,0
220,0
NA,0
234,0
16,0
NA,0
NA,0
100,0
288,0
96,0
50,0
140,0
58,0
90,0
NA,0
234,0
NA,0
130,0
NA,0
199,0
110,0
184,0
NA,0
106,0
50,0
NA,0
144,0
75,0
88,0
130,0
64,0
NA,0
88,0
183,0
250,0
116,0
35,0
16,0
120,0
130,0
58,0
NA,0
46,0
NA,0
89,0
NA,0
117,0
35,0
144,0
NA,0
NA,0
130,0
120,0
205,0
93,0
100,0
NA,0
NA,0
200,0
45,0
60,0
101,0
600,0
200,0
109,0
32,0
41,0
NA,0
64,0
178,0
NA,0
16,0
264,0
109,0
250,0
120,0
260,0
95,0
NA,0
227,0
51,0
NA,0
200,0
130,0
NA,0
60,0
NA,0
NA,0
88,0
NA,0
130,0
144,0
101,0
16,0
NA,0
95,0
NA,0
100,0
NA,0
40,0
NA,0
130,0
NA,0
200,0
74,0
125,0
26,0
NA,0
88,0
468,0
144,0
NA,0
NA,0
NA,0
64,0
140,0
NA,0
239,0
NA,0
100,0
30,0
NA,0
40,0
125,0
119,0
35,0
NA,0
600,0
41,0
NA,0
200,0
NA,0
299,0
NA,0
NA,0
95,0
117,0
239,0
179,0
NA,0
30,0
182,0
162,0
NA,0
148,0
46,0
75,0
100,0
109,0
125,0
150,0
96,0
NA,0
108,0
150,0
NA,0
108,0
231,0
100,0
35,0
82,0
100,0
124,0
186,0
184,0
NA,0
NA,0
109,0
250,0
89,0
NA,0
144,0
NA,0
184,0
NA,0
260,0
30,0
40,0
150,0
152,0
242,0
100,0
NA,0
NA,0
100,0
200,0
30,0
NA,0
92,0
139,0
30,0
57,0
218,0
95,0
NA,0
104,0
NA,0
40,0
16,0
NA,0
141,0
110,0
64,0
125,0
NA,0
94,0
45,0
150,0
NA,0
NA,0
NA,0
NA,0
NA,0
140,0
NA,0
NA,0
NA,0
96,0
NA,0
89,0
156,0
NA,0
150,0
30,0
163,0
NA,0
124,0
NA,0
148,0
NA,0
92,0
40,0
30,0
94,0
200,0
150,0
148,0
200,0
10,0
238,0
NA,0
100,0
102,0
16,0
100,0
NA,0
NA,0
101,0
198,0
NA,0
NA,0
NA,0
120,0
144,0
86,0
88,0
NA,0
100,0
102,0
220,0
100,0
150,0
100,0
105,0
NA,0
NA,0
230,0
40,0
NA,0
100,0
242,0
150,0
16,0
NA,0
NA,0
NA,0
NA,0
57,0
NA,0
122,0
50,0
113,0
100,0
88,0
16,0
40,0
86,0
124,0
NA,0
147,0
NA,0
NA,0
NA,0
NA,0
58,0
100,0
151,0
179,0
236,0
NA,0
16,0
57,0
NA,0
172,0
225,0
133,0
NA,0
16,0
89,0
NA,0
NA,0
125,0
10,0
179,0
198,0
98,0
NA,0
NA,0
101,0
96,0
198,0
92,0
16,0
100,0
144,0
NA,0
127,0
150,0
NA,0
92,0
120,0
50,0
NA,0
134,0
NA,0
88,0
94,0
127,0
94,0
NA,0
100,0
NA,0
NA,0
198,0
10,0
100,0
26,0
NA,0
190,0
NA,0
184,0
120,0
170,0
64,0
32,0
NA,0
NA,0
231,0
120,0
600,0
NA,0
NA,0
NA,0
NA,0
120,0
NA,0
NA,0
NA,0
150,0
110,0
NA,0
NA,0
86,0
NA,0
NA,0
NA,0
150,0
NA,0
NA,0
209,0
16,0
101,0
100,0
NA,0
NA,0
243,0
NA,0
NA,0
102,0
112,0
NA,0
15,0
NA,0
140,0
159,0
200,0
158,0
90,0
102,0
NA,0
237,0
150,0
200,0
120,0
NA,0
NA,0
122,0
37,0
122,0
101,0
150,0
82,0
146,0
16,0
101,0
NA,0
90,0
125,0
NA,0
101,0
109,0
224,0
NA,0
NA,0
26,0
42,0
NA,0
182,0
88,0
16,0
150,0
120,0
110,0
126,0
NA,0
32,0
150,0
50,0
75,0
135,0
201,0
95,0
50,0
150,0
NA,0
NA,0
NA,0
94,0
NA,0
88,0
120,0
NA,0
126,0
80,0
40,0
203,0
96,0
NA,0
25,0
64,0
126,0
191,0
140,0
89,0
140,0
137,0
229,0
NA,0
96,0
57,0
88,0
NA,0
NA,0
135,0
90,0
141,0
NA,0
90,0
150,0
95,0
16,0
90,0
234,0
NA,0
200,0
NA,0
NA,0
156,0
NA,0
NA,0
255,0
67,0
41,0
NA,0
140,0
NA,0
16,0
NA,0
50,0
160,0
NA,0
90,0
NA,0
140,0
126,0
11,0
94,0
NA,0
46,0
73,0
NA,0
NA,0
120,0
NA,0
11,0
196,0
NA,0
90,0
239,0
250,0
88,0
NA,0
116,0
92,0
NA,0
NA,0
90,0
NA,0
11,0
400,0
162,0
264,0
64,0
11,0
